Zone,UseZone,Exposure,MapTrigger,IDorderBuy,OpenPrice,AmountBuy,OpenTime,FilledBuy,feeBuy,ExposureBuy,NAV,TradeTrigger,IDorderSell,ClosePrice,AmountSell,CloseTime,feeSell,LastClosePrice,Profit,round,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0.015,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0155,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.016,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0165,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.017,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0175,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.018,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0185,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.019,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0195,-1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.02,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0205,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.021,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0215,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.022,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0225,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.023,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0235,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.024,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0245,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.025,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0255,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.026,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0265,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.027,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0275,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0279999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0285,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0289999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0295,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.03,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0305,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.031,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0315,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.032,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0325,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.033,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0335,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.034,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0345,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.035,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0355,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.036,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0365,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.037,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0375,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.038,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0385,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.039,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0395,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.04,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0405,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0409999999999999,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0415,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.042,1.0,,-1.0,,,,,,,,,987.0,,,,,,,,,,,,,
0.0425,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.04299,0.000953999999999999,1.0,,,,,
0.043,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0437545,0.0018065,2.0,,,,,
0.0435,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.044152,0.0025869999999999,3.0,,,,,
0.044,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.045,0.0031459999999999,3.0,,,,,
0.0445,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0456165,0.0029994999999999,3.0,,,,,
0.045,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.046359,0.0036859999999999,4.0,,,,,
0.0455,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0465285,0.004719,5.0,,,,,
0.046,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.046701,0.0033654999999999,4.0,,,,,
0.0465,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0474995,0.0034749999999999,4.0,,,,,
0.047,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0480535,0.0114219999999999,6.0,,,,,
0.0475,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0483655,0.0187085,8.0,,,,,
0.048,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.048803,0.016248,5.0,,,,,
0.0485,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.049285,0.019298,8.0,,,,,
0.049,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.050457,0.0181414999999999,7.0,,,,,
0.0495,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.050061,0.0222345,14.0,,,,,
0.05,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0517565,0.0208669999999999,16.0,,,,,
0.0505,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0509035,0.0160234999999998,13.0,,,,,
0.051,1.0,,-1.0,,,,,,,,,987.0,,,,,,0.0514019999999999,0.0119709999999998,11.0,,,,,
0.0515,1.0,,-1.0,32327062978.0,0.05146,1.0,1615066700.29367,1.0,0.0002,0.05146,5.49999999999925e-05,987.0,,,,,,0.051702,0.00919249999999999,10.0,,,,,
0.052,1.0,,1.0,30482976319.0,0.051812,1.0,1614279664.2403,1.0,0.0002,0.051812,-0.000297000000000005,987.0,,,,,,0.05286,0.0083764999999999,7.0,,,,,
0.0525,1.0,,1.0,30478278531.0,0.052427,1.0,1614277920.96269,1.0,0.0002,0.052427,-0.000912000000000003,987.0,,,,,,0.05286,0.0100164999999999,9.0,,,,,
0.053,1.0,,1.0,30467997911.0,0.052936,1.0,1614274212.37748,1.0,0.0002,0.052936,-0.001421,987.0,,,,,,0.0555149999999999,0.0094444999999999,6.0,,,,,
0.0535,1.0,,1.0,30467826308.0,0.05309,1.0,1614274156.1161,1.0,0.0002,0.05309,-0.001575,987.0,,,,,,0.054473,0.0116044999999999,8.0,,,,,
0.054,1.0,,1.0,30464298197.0,0.0539889999999999,1.0,1614272942.53155,1.0,0.0002,0.0539889999999999,-0.0024739999999999,987.0,,,,,,0.054897,0.0108249999999999,7.0,,,,,
0.0545,1.0,,1.0,30441581654.0,0.054473,1.0,1614264264.33536,1.0,0.0002,0.054473,-0.002958,987.0,,,,,,0.0553059999999999,0.0185679999999999,11.0,,,,,
0.055,1.0,,1.0,30438559546.0,0.0548925,1.0,1614263145.48325,1.0,0.0007,0.0548925,-0.00337749999999999,987.0,,,,,,0.0560549999999999,0.0196694999999999,14.0,,,,,
0.0555,1.0,,1.0,30376609900.0,0.055484,1.0,1614239760.87534,1.0,0.0002,0.055484,-0.003969,987.0,,,,,,0.0565505,0.0242649999999998,18.0,,,,,
0.0559999999999999,1.0,,1.0,30328918982.0,0.0558899999999999,1.0,1614220624.12586,1.0,0.0002,0.0558899999999999,-0.0043749999999999,987.0,,,,,,0.057075,0.0237629999999998,17.0,,,,,
0.0565,1.0,,1.0,30323130027.0,0.056307,1.0,1614218177.91944,1.0,0.0002,0.056307,-0.004792,987.0,,,,,,0.057142,0.0211109999999996,16.0,,,,,
0.057,1.0,,1.0,30316436174.0,0.056901,1.0,1614215437.51846,1.0,0.0002,0.056901,-0.005386,987.0,,,,,,0.057959,0.0251614999999999,18.0,,,,,
0.0575,1.0,,1.0,30215649482.0,0.0573,1.0,1614179308.14489,1.0,0.0002,0.0573,-0.00578499999999999,987.0,,,,,,0.057873,0.0165964999999999,9.0,,,,,
0.0579999999999999,1.0,,1.0,30210376878.0,0.0578299999999999,1.0,1614177590.57576,1.0,0.0002,0.0578299999999999,-0.0063149999999999,987.0,,,,,,0.058969,0.011387,5.0,,,,,
0.0585,1.0,,1.0,30210095867.0,0.0580565,1.0,1614177499.2534,1.0,0.0002,0.0580565,-0.0065415,987.0,,,,,,0.059489,0.0130334999999999,6.0,,,,,
0.059,1.0,,1.0,30209733747.0,0.0589855,1.0,1614177378.51598,1.0,0.0002,0.0589855,-0.0074705,987.0,,,,,,0.059489,0.0123034999999999,5.0,,,,,
0.0595,1.0,,1.0,28963635711.0,0.0592,1.0,1613692779.77025,1.0,0.0002,0.0592,-0.007685,987.0,,,,,,0.060338,0.0111675,3.0,,,,,
0.06,1.0,,1.0,28960437722.0,0.059927,1.0,1613691241.45701,1.0,0.0007,0.059927,-0.008412,987.0,,,,,,0.060857,0.0134335,4.0,,,,,
0.0605,1.0,,1.0,28955546119.0,0.0603715,1.0,1613688738.03455,1.0,0.0002,0.0603715,-0.0088565,987.0,,,,,,0.061734,0.0111644999999999,2.0,,,,,
0.061,1.0,,1.0,28955110460.0,0.0607034999999999,1.0,1613688466.81881,1.0,0.0002,0.0607034999999999,-0.0091884999999999,987.0,,,,,,0.0618115,0.0132619999999999,3.0,,,,,
0.0615,1.0,,1.0,28955062166.0,0.060764,1.0,1613688436.58752,1.0,0.0002,0.060764,-0.009249,987.0,,,,,,0.0618115,0.0152215,3.0,,,,,
0.062,1.0,,1.0,28919813679.0,0.0602755,1.0,1613670495.00373,1.0,0.0002,0.0602755,-0.0087605,987.0,,,,,,0.0641809999999999,0.0134055,1.0,,,,,
0.0625,1.0,,1.0,32205890586.0,0.0517554999999999,1.0,1615006630.83456,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.063,1.0,,1.0,32205891910.0,0.0517554999999999,1.0,1615006631.52712,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0635,1.0,,1.0,32205892894.0,0.0517554999999999,1.0,1615006632.18,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.064,1.0,,1.0,32205893885.0,0.0517554999999999,1.0,1615006633.07885,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0645,1.0,,1.0,32205894757.0,0.0517554999999999,1.0,1615006633.85275,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.065,1.0,,1.0,32205896000.0,0.0517554999999999,1.0,1615006634.59019,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0655,1.0,,1.0,32205896972.0,0.0517554999999999,1.0,1615006635.28298,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.066,1.0,,1.0,32205898415.0,0.0517554999999999,1.0,1615006636.0204,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0665,1.0,,1.0,32205899815.0,0.0517554999999999,1.0,1615006636.59147,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.067,1.0,,1.0,32205901956.0,0.0517554999999999,1.0,1615006637.734,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0675,1.0,,1.0,32205903279.0,0.0517554999999999,1.0,1615006638.42678,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.068,1.0,,1.0,32205904657.0,0.0517554999999999,1.0,1615006639.16421,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0685,1.0,,1.0,32205905851.0,0.0517554999999999,1.0,1615006639.89861,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.069,1.0,,1.0,32205907022.0,0.0517554999999999,1.0,1615006640.71603,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0695,1.0,,1.0,32205908198.0,0.0517554999999999,1.0,1615006641.69669,1.0,0.0007,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.07,1.0,,1.0,32205909831.0,0.0517554999999999,1.0,1615006642.67719,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0705,1.0,,1.0,32205911071.0,0.0517554999999999,1.0,1615006643.53616,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.071,1.0,,1.0,32205912237.0,0.0517554999999999,1.0,1615006644.47224,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0715,1.0,,1.0,32205913213.0,0.0517554999999999,1.0,1615006645.16911,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.072,1.0,,1.0,32205914873.0,0.0517554999999999,1.0,1615006645.94303,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0725,1.0,,1.0,32205917166.0,0.0517554999999999,1.0,1615006646.96784,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.073,1.0,,1.0,32205918378.0,0.0517554999999999,1.0,1615006647.82279,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0735,1.0,,1.0,32205920163.0,0.0517554999999999,1.0,1615006648.96956,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.074,1.0,,1.0,32205921396.0,0.0517554999999999,1.0,1615006649.86509,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0745,1.0,,1.0,32205922773.0,0.0517554999999999,1.0,1615006650.72405,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.075,1.0,,1.0,32205924206.0,0.0517554999999999,1.0,1615006651.50196,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0755,1.0,,1.0,32205925329.0,0.0517554999999999,1.0,1615006652.23523,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.076,1.0,,1.0,32205926113.0,0.0517554999999999,1.0,1615006652.96858,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0765,1.0,,1.0,32205927230.0,0.0517554999999999,1.0,1615006653.86808,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.077,1.0,,1.0,32205928249.0,0.0517554999999999,1.0,1615006654.68656,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0775,1.0,,1.0,32205929310.0,0.0517554999999999,1.0,1615006655.50494,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.078,1.0,,1.0,32205932928.0,0.0517554999999999,1.0,1615006657.95199,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0785,1.0,,1.0,32205937476.0,0.0517554999999999,1.0,1615006659.91384,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.079,1.0,,1.0,32205939649.0,0.0517554999999999,1.0,1615006660.97405,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0795,1.0,,1.0,32205941344.0,0.0517554999999999,1.0,1615006661.86933,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.08,1.0,,1.0,32205943317.0,0.0517554999999999,1.0,1615006662.93063,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0805,1.0,,1.0,32205946648.0,0.0517554999999999,1.0,1615006664.81044,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.081,1.0,,1.0,32205950815.0,0.0517554999999999,1.0,1615006666.89312,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
0.0815,1.0,,1.0,32205954482.0,0.0517554999999999,1.0,1615006668.4043,1.0,0.0002,0.0517554999999999,-0.000240499999999997,987.0,,,,,,0.0522184999999999,0.0014429999999999,1.0,,,,,
